date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-02,新潟,7,04252307,13:1910,13:530;12:210;11:240,7-7:5290,12-13:5010,12-13:1810;11-13:2020;11-12:710,13-12:11610,11-12-13:11530,13-12-11:90370
2025-08-02,新潟,8,04252308,4:400,4:140;2:130;11:160,2-4:710,2-4:700,2-4:290;4-11:360;2-11:310,4-2:1530,2-4-11:1270,4-2-11:6690
2025-08-02,新潟,9,04252309,7:3240,7:490;1:130;8:200,1-7:5950,1-7:5550,1-7:1370;7-8:2020;1-8:360,7-1:12780,1-7-8:8650,7-1-8:85660
2025-08-02,新潟,10,04252310,6:200,6:130;10:180;4:720,5-7:570,6-10:850,6-10:350;4-6:1170;4-10:3490,6-10:1120,4-6-10:10560,6-10-4:25390
2025-08-02,新潟,11,04252311,16:830,16:250;11:300;1:130,6-8:2140,11-16:6370,11-16:1770;1-16:410;1-11:730,16-11:13630,1-11-16:4470,16-11-1:45330
2025-08-02,新潟,12,04252312,8:460,8:230;10:280;7:1100,6-7:1470,8-10:1970,8-10:690;7-8:4040;7-10:4540,8-10:4040,7-8-10:35650,8-10-7:134500
2025-08-02,札幌,1,01251301,4:570,4:120;5:100;3:170,,4-5:280,4-5:150;3-4:810;3-5:500,4-5:1130,3-4-5:1050,4-5-3:11090
2025-08-02,札幌,2,01251302,11:780,11:210;10:120;8:160,7-8:550,10-11:910,10-11:390;8-11:740;8-10:250,11-10:2380,8-10-11:1490,11-10-8:8420
2025-08-02,札幌,3,01251303,2:270,2:150;11:170;6:450,2-7:1010,2-11:1230,2-11:460;2-6:2150;6-11:1480,2-11:2400,2-6-11:8380,2-11-6:37850
2025-08-02,札幌,4,01251304,14:240,14:120;3:160;8:200,2-7:730,3-14:740,3-14:360;8-14:360;3-8:600,14-3:1540,3-8-14:1660,14-3-8:5680
2025-08-02,札幌,5,01251305,7:2630,7:400;5:120;6:130,5-6:380,5-7:5530,5-7:1330;6-7:1020;5-6:200,7-5:13710,5-6-7:3200,7-5-6:47450
