date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-09-06,札幌,12,01252512,3:2070,3:530;6:160;8:150,3-4:2350,3-6:7710,3-6:2090;3-8:1190;6-8:330,3-6:18220,3-6-8:6730,3-6-8:63360
2025-09-06,阪神,1,09254101,7:740,7:190;1:970;2:110,1-7:16850,1-7:17760,1-7:2790;2-7:350;1-2:2330,7-1:27220,1-2-7:11550,7-1-2:113010
2025-09-06,阪神,2,09254102,5:140,5:110;1:110,,1-5:150,1-5:110;2-5:600;1-2:590,5-1:210,1-2-5:1250,5-1-2:3150
2025-09-06,阪神,3,09254103,13:520,13:170;6:180;1:150,3-7:1230,6-13:2000,6-13:670;1-13:340;1-6:510,13-6:3340,1-6-13:2200,13-6-1:12700
2025-09-06,阪神,4,09254104,2:1150,2:340;3:410;6:560,1-2:4020,2-3:4780,2-3:1770;2-6:2670;3-6:3540,2-3:11050,2-3-6:28720,2-3-6:169080
2025-09-06,阪神,5,09254105,2:420,2:170;9:180;3:370,2-7:1650,2-9:1350,2-9:480;2-3:1040;3-9:1390,2-9:2750,2-3-9:6080,2-9-3:19840
2025-09-06,阪神,6,09254106,10:110,10:100;9:880;3:500,6-7:790,9-10:3370,9-10:1560;3-10:790;3-9:9830,10-9:3810,3-9-10:16590,10-9-3:52170
2025-09-06,阪神,7,09254107,6:260,6:120;3:160;10:270,3-5:640,3-6:690,3-6:290;6-10:530;3-10:1060,6-3:1100,3-6-10:2600,6-3-10:8950
2025-09-06,阪神,8,09254108,1:200,1:110;6:130;4:120,1-6:480,1-6:450,1-6:190;1-4:190;4-6:260,1-6:660,1-4-6:490,1-6-4:1700
2025-09-06,阪神,9,09254109,3:160,3:110;5:190;2:190,3-5:570,3-5:610,3-5:300;2-3:270;2-5:860,3-5:900,2-3-5:1290,3-5-2:3830
2025-09-06,阪神,10,09254110,10:530,10:160;6:210;5:170,5-7:380,6-10:1820,6-10:680;5-10:510;5-6:740,10-6:3580,5-6-10:3340,10-6-5:20630
2025-09-06,阪神,11,09254111,14:170,14:110;12:180;9:160,7-8:550,12-14:750,12-14:310;9-14:240;9-12:570,14-12:970,9-12-14:900,14-12-9:3140
2025-09-06,阪神,12,09254112,11:440,11:290;3:340;8:1220,3-7:1320,3-11:1620,3-11:490;8-11:3010;3-8:2160,11-3:3240,3-8-11:16210,11-3-8:86560
2025-09-07,中山,1,06254201,10:170,10:110;4:170;6:630,4-7:510,4-10:620,4-10:310;6-10:1140;4-6:2700,10-4:850,4-6-10:4540,10-4-6:12340
2025-09-07,中山,2,06254202,11:260,11:130;7:180;13:1660,4-6:660,7-11:840,7-11:410;11-13:5930;7-13:9880,11-7:1410,7-11-13:27910,11-7-13:80680
2025-09-07,中山,3,06254203,13:170,13:110;11:130;2:130,6-7:250,11-13:300,11-13:160;2-13:190;2-11:320,13-11:460,2-11-13:430,13-11-2:1340
2025-09-07,中山,4,06254204,6:300,6:110;4:110;7:120,4-6:330,4-6:290,4-6:150;6-7:190;4-7:190,6-4:770,4-6-7:320,6-4-7:1980
2025-09-07,中山,5,06254205,3:180,3:110;6:130;10:270,3-5:340,3-6:310,3-6:180;3-10:580;6-10:740,3-6:480,3-6-10:1360,3-6-10:3820
2025-09-07,中山,6,06254206,7:750,7:230;9:170;16:210,4-5:780,7-9:1870,7-9:720;7-16:910;9-16:540,7-9:3920,7-9-16:3650,7-9-16:23730
2025-09-07,中山,7,06254207,16:190,16:120;6:270;14:230,3-8:650,6-16:1520,6-16:650;14-16:310;6-14:1610,16-6:2370,6-14-16:3070,16-6-14:13780
2025-09-07,中山,8,06254208,14:820,14:170;11:110;6:430,6-8:420,11-14:520,11-14:270;6-14:2030;6-11:760,14-11:1960,6-11-14:3160,14-11-6:22250
2025-09-07,中山,9,06254209,15:460,15:140;14:130;12:190,7-8:440,14-15:710,14-15:280;12-15:470;12-14:480,15-14:1510,12-14-15:1300,15-14-12:8630
2025-09-07,中山,10,06254210,6:500,6:140;2:110;1:380,2-5:340,2-6:420,2-6:200;1-6:1360;1-2:610,6-2:1160,1-2-6:3070,6-2-1:17300
2025-09-07,中山,11,06254211,7:2490,7:440;5:200;9:230,4-5:1100,5-7:5970,5-7:1720;7-9:2320;5-9:800,7-5:14840,5-7-9:14260,7-5-9:141040
