date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-03-01,阪神,6,09251106,15:240,15:130;12:180;3:170,6-8:700,12-15:960,12-15:380;3-15:410;3-12:660,15-12:1600,3-12-15:1890,15-12-3:8260
2025-03-01,阪神,7,09251107,11:760,11:240;16:160;2:1940,6-8:1170,11-16:1590,11-16:670;2-11:12090;2-16:4860,11-16:4260,2-11-16:35480,11-16-2:163940
2025-03-01,阪神,8,09251108,4:3060,4:320;9:120;10:130,4-8:2510,4-9:3320,4-9:820;4-10:800;9-10:210,4-9:11100,4-9-10:2650,4-9-10:50650
2025-03-01,阪神,9,09251109,1:450,1:150;6:150;3:120,,1-6:1370,1-6:410;1-3:280;3-6:240,1-6:2530,1-3-6:1030,1-6-3:7300
2025-03-01,阪神,10,09251110,5:240,5:120;4:220;9:120,4-5:1620,4-5:1730,4-5:530;5-9:180;4-9:500,5-4:2490,4-5-9:1170,5-4-9:6640
2025-03-01,阪神,11,09251111,1:3100,1:850;15:510;14:540,1-8:1240,1-15:25510,1-15:6340;1-14:6270;14-15:3100,1-15:55030,1-14-15:114110,1-15-14:659160
2025-03-01,阪神,12,09251112,7:480,7:210;5:250;4:320,3-4:560,5-7:2350,5-7:830;4-7:1050;4-5:970,7-5:3810,4-5-7:6090,7-5-4:28970
2025-03-01,小倉,1,10251b01,4:24620,4:4490;14:180;1:460,2-7:2010,4-14:76820,4-14:14020;1-4:33630;1-14:1300,4-14:247180,1-4-14:270990,4-14-1:2959910
2025-03-01,小倉,2,10251b02,14:440,14:160;13:130;2:240,7-7:440,13-14:660,13-14:270;2-14:570;2-13:790,14-13:1660,2-13-14:2280,14-13-2:10920
2025-03-01,小倉,3,10251b03,8:360,8:130;1:210;6:130,1-5:830,1-8:910,1-8:350;6-8:260;1-6:690,8-1:1830,1-6-8:1760,8-1-6:12180
2025-03-01,小倉,4,10251b04,8:370,8:140;9:210;6:190,6-7:1000,8-9:1630,8-9:620;6-8:560;6-9:1080,8-9:2500,6-8-9:4390,8-9-6:16730
2025-03-01,小倉,5,10251b05,4:5640,4:670;9:110;3:1710,4-7:2340,4-9:3560,4-9:1560;3-4:13080;3-9:2580,4-9:10650,3-4-9:43630,4-9-3:321890
2025-03-01,小倉,6,10251b06,17:580,17:210;16:800;4:250,8-8:3150,16-17:10890,16-17:3780;4-17:940;4-16:3130,17-16:18670,4-16-17:26730,17-16-4:175890
2025-03-01,小倉,7,10251b07,2:460,2:150;7:160;5:120,1-4:580,2-7:1340,2-7:390;2-5:250;5-7:300,2-7:2820,2-5-7:970,2-7-5:6210
2025-03-01,小倉,8,10251b08,6:190,6:110;8:190;12:130,4-5:880,6-8:820,6-8:370;6-12:180;8-12:510,6-8:1570,6-8-12:1070,6-8-12:5340
2025-03-01,小倉,9,10251b09,15:290,15:130;10:190;12:170,5-8:810,10-15:1240,10-15:480;12-15:370;10-12:500,15-10:2120,10-12-15:2330,15-10-12:10120
2025-03-01,小倉,10,10251b10,8:590,8:190;14:130;18:300,4-7:570,8-14:1060,8-14:460;8-18:1710;14-18:710,8-14:2290,8-14-18:4580,8-14-18:25560
2025-03-01,小倉,11,10251b11,10:930,10:300;4:290;9:250,3-6:3430,4-10:4430,4-10:1470;9-10:1530;4-9:1060,10-4:8880,4-9-10:12120,10-4-9:78750
2025-03-01,小倉,12,10251b12,17:3560,17:960;6:170;16:520,3-8:1600,6-17:9090,6-17:2700;16-17:5660;6-16:1890,17-6:25710,6-16-17:56210,17-6-16:534600
2025-03-02,中山,1,06252201,15:320,15:120;14:110;16:430,7-8:230,14-15:260,14-15:150;15-16:610;14-16:710,15-14:600,14-15-16:1430,15-14-16:5880
2025-03-02,中山,2,06252202,7:250,7:150;14:880;1:1360,4-7:1130,7-14:7460,7-14:1810;1-7:2600;1-14:22330,7-14:9950,1-7-14:88320,7-14-1:242550
2025-03-02,中山,3,06252203,8:330,8:150;3:260;4:600,2-4:1320,3-8:1830,3-8:610;4-8:1300;3-4:2840,8-3:2850,3-4-8:9570,8-3-4:34880
2025-03-02,中山,4,06252204,6:680,6:150;12:110;16:190,3-6:430,6-12:440,6-12:220;6-16:770;12-16:290,6-12:1470,6-12-16:1230,6-12-16:8380
2025-03-02,中山,5,06252205,17:320,17:160;18:6150;15:180,8-8:3530,17-18:52370,17-18:14710;15-17:350;15-18:20800,17-18:80940,15-17-18:55940,17-18-15:389890
2025-03-02,中山,6,06252206,12:1150,12:310;15:120;14:710,6-8:340,12-15:850,12-15:450;12-14:3530;14-15:940,12-15:2590,12-14-15:6700,12-15-14:36120
