date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-08-09,札幌,10,01261610,3:1220,3:220;13:110;8:110,3-8:840,3-13:1120,3-13:430;3-8:470;8-13:150,3-13:2970,3-8-13:820,3-13-8:8690
2026-08-09,札幌,11,01261611,10:360,10:170;13:190;2:450,5-7:510,10-13:940,10-13:440;2-10:1010;2-13:1580,10-13:1800,2-10-13:4590,10-13-2:19480
2026-08-09,札幌,12,01261612,4:780,4:190;5:250;1:170,,4-5:2270,4-5:500;1-4:410;1-5:500,4-5:4960,1-4-5:2280,4-5-1:17500
2026-08-15,中京,1,07262701,16:1870,16:690;6:3250;11:2210,3-8:5570,6-16:117680,6-16:25060;11-16:14620;6-11:20990,16-6:133080,6-11-16:657860,16-6-11:8783430
2026-08-15,中京,2,07262702,7:470,7:150;6:190;9:130,4-4:1660,6-7:1510,6-7:600;7-9:280;6-9:430,7-6:2900,6-7-9:1450,7-6-9:8740
2026-08-15,中京,3,07262703,3:520,3:190;6:150,,3-6:830,3-6:350;2-3:740;2-6:600,3-6:1800,2-3-6:1810,3-6-2:8780
2026-08-15,中京,4,07262704,14:140,14:110;4:160;12:190,3-8:430,4-14:440,4-14:200;12-14:240;4-12:940,14-4:590,4-12-14:1190,14-4-12:2910
2026-08-15,中京,5,07262705,6:450,6:160;7:170;3:240,3-4:790,6-7:820,6-7:340;3-6:560;3-7:700,6-7:1680,3-6-7:2050,6-7-3:7440
2026-08-15,中京,6,07262706,10:340,10:150;7:160;8:1050,6-8:450,7-10:640,7-10:290;8-10:2890;7-8:3020,10-7:1290,7-8-10:10670,10-7-8:42020
2026-08-15,中京,7,07262707,5:340,5:140;3:380;1:340,,3-5:3080,3-5:830;1-5:830;1-3:2180,5-3:4820,1-3-5:8720,5-3-1:46020
2026-08-15,中京,8,07262708,8:260,8:110;1:110;6:190,1-7:250,1-8:260,1-8:170;6-8:330;1-6:420,8-1:560,1-6-8:700,8-1-6:2390
2026-08-15,中京,9,07262709,15:830,15:280;16:580;12:2600,8-8:7990,15-16:6720,15-16:1840;12-15:11500;12-16:20540,15-16:10540,12-15-16:171550,15-16-12:619590
2026-08-15,中京,10,07262710,9:4570,9:1290;2:820;14:280,1-5:5900,2-9:80350,2-9:16000;9-14:6810;2-14:2610,9-2:167620,2-9-14:195960,9-2-14:1890590
2026-08-15,中京,11,07262711,4:460,4:220;3:580;11:240,2-3:1570,3-4:6080,3-4:2020;4-11:890;3-11:2570,4-3:10210,3-4-11:20080,4-3-11:89830
2026-08-15,中京,12,07262712,15:310,15:140;5:130;7:180,3-8:340,5-15:450,5-15:210;7-15:440;5-7:250,15-5:830,5-7-15:890,15-5-7:3100
2026-08-15,新潟,1,04262701,3:260,3:120;6:230;5:960,3-6:890,3-6:920,3-6:390;3-5:1140;5-6:2790,3-6:1400,3-5-6:6220,3-6-5:20050
2026-08-15,新潟,2,04262702,1:950,1:400;3:370;10:690,1-2:2070,1-3:5020,1-3:1690;1-10:3350;3-10:2620,1-3:10020,1-3-10:28500,1-3-10:171420
2026-08-15,新潟,3,04262703,10:550,10:490;9:2140;8:740,7-7:5360,9-10:6100,9-10:1380;8-10:650;8-9:2350,10-9:10510,8-9-10:13350,10-9-8:75130
2026-08-15,新潟,4,04262704,12:310,12:130;9:190;15:170,5-7:370,9-12:860,9-12:320;12-15:250;9-15:400,12-9:1360,9-12-15:700,12-9-15:3770
2026-08-15,新潟,5,04262705,4:520,4:220;15:140;7:240,2-7:900,4-15:1470,4-15:530;4-7:1040;7-15:590,4-15:3460,4-7-15:3780,4-15-7:22330
2026-08-15,新潟,6,04262706,5:300,5:120;12:110;11:650,4-7:140,5-12:210,5-12:150;5-11:2260;11-12:1350,5-12:540,5-11-12:3520,5-12-11:10860
2026-08-15,新潟,7,04262707,7:1190,7:300;9:1400;10:520,4-5:7100,7-9:33620,7-9:8230;7-10:2790;9-10:9930,7-9:61080,7-9-10:175490,7-9-10:1193640
2026-08-15,新潟,8,04262708,9:210,9:110;3:170;5:490,2-5:350,3-9:500,3-9:260;5-9:970;3-5:1670,9-3:770,3-5-9:3830,9-3-5:10790
2026-08-15,新潟,9,04262709,8:480,8:160;11:190;6:140,7-8:840,8-11:1650,8-11:660;6-8:340;6-11:640,8-11:3190,6-8-11:2560,8-11-6:15810
2026-08-15,新潟,10,04262710,9:180,9:110;12:310;15:620,5-7:450,9-12:980,9-12:460;9-15:820;12-15:3250,9-12:1130,9-12-15:5890,9-12-15:15690
2026-08-15,新潟,11,04262711,9:3780,9:550;10:150;18:130,5-5:9760,9-10:9830,9-10:2310;9-18:1520;10-18:350,9-10:24080,9-10-18:7070,9-10-18:83960
2026-08-15,新潟,12,04262712,4:1070,4:320;13:170;5:420,2-7:630,4-13:2630,4-13:1040;4-5:3240;5-13:1180,4-13:6610,4-5-13:12200,4-13-5:93620
2026-08-15,札幌,1,01261701,3:210,3:130;12:240;1:1100,3-7:1190,3-12:1020,3-12:500;1-3:2460;1-12:4710,3-12:1640,1-3-12:16240,3-12-1:47140
2026-08-15,札幌,2,01261702,9:140,9:110;2:160;8:210,2-8:540,2-9:680,2-9:260;8-9:330;2-8:790,9-2:720,2-8-9:1770,9-2-8:3510
2026-08-15,札幌,3,01261703,11:710,11:200;1:240;10:290,1-8:970,1-11:2670,1-11:740;10-11:870;1-10:1380,11-1:4850,1-10-11:6920,11-1-10:36470
2026-08-15,札幌,4,01261704,12:850,12:280;3:170;7:370,3-8:1590,3-12:2160,3-12:840;7-12:1990;3-7:950,12-3:4770,3-7-12:8560,12-3-7:43000
2026-08-15,札幌,5,01261705,5:270,5:130;1:150;2:340,1-5:560,1-5:580,1-5:270;2-5:840;1-2:870,5-1:930,1-2-5:2120,5-1-2:6060
2026-08-15,札幌,6,01261706,7:400,7:170;11:320;8:260,5-7:1550,7-11:2050,7-11:720;7-8:690;8-11:1430,7-11:3580,7-8-11:5300,7-11-8:31160
2026-08-15,札幌,7,01261707,4:1930,4:470;5:440;9:180,3-3:11000,4-5:12090,4-5:3120;4-9:1560;5-9:1290,4-5:26640,4-5-9:16130,4-5-9:169780
